steamId,name,premier_rating,match_kills,match_deaths,match_kd_ratio,match_leetify_rating,match_damage,match_rounds_count,aim,positioning,utility,clutch,opening,ct_leetify,t_leetify,accuracy_enemy_spotted,accuracy_head,counter_strafing_good_shots_ratio,ct_opening_aggression_success_rate,ct_opening_duel_success_percentage,flashbang_hit_foe_avg_duration,flashbang_hit_foe_per_flashbang,flashbang_hit_friend_per_flashbang,flashbang_leading_to_kill,flashbang_thrown,he_foes_damage_avg,he_friends_damage_avg,preaim,reaction_time_ms,spray_accuracy,t_opening_aggression_success_rate,t_opening_duel_success_percentage,traded_deaths_success_percentage,trade_kill_opportunities_per_round,trade_kills_success_percentage,utility_on_death_avg
76561198831050554,zzz,10500,17,16,1.06,-0.0097,1891,23,74.8571,63.6831,54.9116,0.1332,0.0071,0.0293,0.0103,35.787,27.461,84.0794,49.6263,58.4183,2.5435,0.5651,0.3665,4.6874,14.2645,8.9433,0.753,11.0616,701.3884,34.3502,41.9925,45.7517,49.2249,0.3069,49.6391,320.3654
76561199065231056,Sal,11450,14,17,0.82,-0.0223,1689,21,57.926,48.4047,76.4997,0.1175,0.0019,0.0277,-0.0016,33.117,21.7224,75.4639,36.7541,49.1642,3.0827,0.6745,0.3378,8.8989,16.1188,12.0675,0.5871,10.7054,686.6049,35.1052,29.9333,41.1652,50.1572,0.287,37.4913,376.5849
76561199287758702,HeavyVerga,11395,11,17,0.65,-0.0625,1103,21,82.8944,58.7064,34.7689,0.1753,0.0328,0.0499,0.0208,40.4034,17.0604,86.2446,41.2593,52.4496,0.9891,0.3498,0.3499,5.1724,1.4089,12.1242,0.088,9.6579,626.0509,39.1996,34.0697,46.77,51.7721,0.3005,49.0827,364.9212
76561198079184993,Money moves,10075,17,16,1.06,0.024,1944,21,76.1148,53.9828,36.4316,0.1016,-0.009,0.0331,0.0018,42.4302,17.3699,82.8772,35.1689,42.7285,1.7663,0.4191,0.5539,2.3112,5.6268,7.3699,0.2339,10.8253,726.0478,43.9723,35.9116,41.6532,49.2661,0.3089,50.4958,311.925
76561198370543345,kim jong goon,11577,15,15,1.0,-0.0124,1732,19,79.103,61.7911,44.7475,0.1371,0.0046,0.0109,0.0297,38.9411,20.6065,87.9955,47.1079,53.7378,2.0845,0.5966,0.4287,6.9551,3.0126,7.7266,1.2223,9.9657,691.9827,36.5375,43.1259,52.246,55.6633,0.2602,47.1928,417.9088
76561198196462131,MIZER,10482,22,21,1.05,-0.0117,2292,30,55.1717,42.8576,56.4969,0.112,-0.0186,0.0046,-0.0029,37.2784,11.2091,74.2831,33.2319,44.8364,2.8164,0.5735,0.3503,13.271,6.0935,7.0522,0.3587,11.4653,611.4268,36.7392,23.7927,28.9718,49.5816,0.2779,44.1039,374.785
76561198166837767,Jaevix,11642,21,5,4.2,0.1206,1836,16,76.4238,59.0954,44.0017,0.1625,0.0162,0.0228,0.013,38.1921,21.1182,75.3332,41.1232,50.4913,1.9738,0.4867,0.6263,2.2719,6.0063,14.6617,0.0591,8.9777,638.2539,38.132,51.8026,53.0042,46.308,0.2808,43.7775,440.4561
76561197969872105,Professional Foot Rest,11406,17,8,2.13,0.08,1946,16,62.93,64.4309,47.7495,0.2044,0.0417,0.0614,0.0769,37.6186,17.3252,76.8672,42.1977,60.1093,2.2937,0.5867,0.603,5.5686,5.207,9.4985,1.2465,11.5106,662.5414,38.3418,49.8777,55.4245,38.9488,0.3007,55.29,284.2389
76561199023457794,carl,11130,16,15,1.07,-0.0025,1836,17,70.5402,48.0061,48.4604,0.1416,-0.0082,-0.0023,0.0188,40.7316,9.5185,78.8939,25.4844,36.9538,2.4038,0.3657,0.4953,8.1976,7.6769,7.6601,0.5908,11.614,619.0759,47.712,36.5165,47.7266,50.179,0.2707,48.1681,258.3312
76561198044171611,Loofi,11276,18,7,2.57,0.0662,1770,16,64.8027,60.642,63.3745,0.1462,0.0345,0.0334,0.022,37.2659,11.9024,75.2301,43.038,48.6885,2.8297,0.5184,0.2996,8.6821,6.1757,10.8867,0.158,9.9523,598.5135,39.0087,45.5802,54.7596,41.408,0.3115,49.7699,440.9069
